time,pos_x,pos_y
3326.665,0.8523429018920312,-2.577291176864527
3326.716,0.8521207340241758,-2.5591062696471156
3326.767,0.8518896794416061,-2.5409017624297046
3326.818,0.8516675115737506,-2.5227168552122934
3326.869,0.851436456991181,-2.5045123479948823
3326.92,0.8512142891233255,-2.486327440777471
3326.971,0.8509832345407559,-2.46812293356006
3327.022,0.8507610666729004,-2.449938026342649
3327.073,0.8505300120903307,-2.431733519125238
3327.124,0.8503078442224753,-2.4135486119078267
3327.175,0.8500767896399056,-2.3953441046904156
3327.226,0.8498546217720502,-2.3771591974730044
3327.277,0.8496235671894805,-2.3589546902555933
3327.328,0.8494013993216251,-2.340769783038182
3327.379,0.8491703447390554,-2.322565275820771
3327.43,0.8489481768711999,-2.30438036860336
3327.481,0.8487171222886303,-2.286175861385949
3327.532,0.8484949544207748,-2.2679909541685377
3327.583,0.8482638998382052,-2.2497864469511266
3327.633,0.8480417319703497,-2.2316015397337154
3327.685,0.84781067738778,-2.2133970325163044
3327.736,0.8475885095199246,-2.195212125298893
3327.787,0.8473574549373549,-2.177007618081482
3327.838,0.8471352870694995,-2.158822710864071
3327.889,0.8469042324869298,-2.14061820364666
3327.94,0.8466820646190744,-2.1224332964292487
3327.991,0.8464510100365047,-2.1042287892118376
3328.043,0.8462288421686492,-2.0860438819944265
3328.093,0.8459977875860796,-2.0678393747770154
3328.145,0.8457756197182241,-2.0496544675596042
3328.195,0.8455445651356545,-2.031449960342193
3328.246,0.845322397267799,-2.013265053124782
3328.297,0.8450913426852293,-1.9950605459073725
3328.348,0.8448691748173739,-1.976875638689967
3328.399,0.8446381202348042,-1.9586711314725616
3328.45,0.8444159523669488,-1.9404862242551562
3328.501,0.8441848977843791,-1.9222817170377506
3328.552,0.8439627299165237,-1.9040968098203452
3328.603,0.843731675333954,-1.8858923026029397
3328.654,0.8435095074660985,-1.8677073953855343
3328.705,0.8432784528835289,-1.8495028881681288
3328.756,0.8430562850156734,-1.8313179809507234
3328.807,0.8428252304331038,-1.8131134737333179
3328.858,0.8426030625652483,-1.7949285665159125
3328.909,0.8423720079826786,-1.776724059298507
3328.96,0.8421498401148232,-1.7585391520811016
3329.011,0.8419187855322535,-1.740334644863696
3329.062,0.8416966176643981,-1.7221497376462906
3329.113,0.8414655630818284,-1.7039452304288851
3329.164,0.841243395213973,-1.6857603232114797
3329.215,0.8410123406314033,-1.6675558159940742
3329.266,0.8407901727635478,-1.6493709087766688
3329.316,0.8405591181809782,-1.6311664015592633
3329.368,0.8403369503131227,-1.612981494341858
3329.419,0.840105895730553,-1.5947769871244524
3329.47,0.8398837278626976,-1.576592079907047
3329.521,0.8396526732801279,-1.5583875726896415
3329.572,0.8394305054122725,-1.540202665472236
3329.623,0.8391994508297028,-1.5219981582548305
3329.674,0.8389772829618474,-1.5038132510374251
3329.725,0.8387462283792777,-1.4856087438200196
3329.776,0.8385240605114223,-1.4674238366026142
3329.827,0.8382930059288526,-1.4492193293852087
3329.878,0.8380708380609971,-1.4310344221678033
3329.929,0.8378397834784275,-1.4128299149503978
3329.98,0.837617615610572,-1.3946450077329924
3330.031,0.8373865610280024,-1.3764405005155869
3330.08,0.8371643931601469,-1.3582555932981815
3330.133,0.8369333385775772,-1.340051086080776
3330.184,0.8367111707097218,-1.3218661788633705
3330.235,0.8364801161271521,-1.303661671645965
3330.286,0.8362579482592967,-1.2854767644285596
3330.337,0.836026893676727,-1.267272257211154
3330.388,0.8358047258088716,-1.2490873499937487
3330.439,0.8355736712263019,-1.2308828427763432
3330.49,0.8353515033584464,-1.2126979355589378
3330.541,0.8351204487758768,-1.1944934283415323
3330.592,0.8348982809080213,-1.1763085211241269
3330.643,0.8346672263254516,-1.1581040139067214
3330.694,0.8344450584575962,-1.139919106689316
3330.745,0.8342140038750265,-1.1217145994719104
3330.796,0.8339918360071711,-1.103529692254505
3330.847,0.8337607814246014,-1.0853251850370995
3330.898,0.833538613556746,-1.0671402778196941
3330.949,0.8333075589741763,-1.0489357706022886
3331.0,0.8330853911063208,-1.0307508633848832
3331.051,0.8328543365237512,-1.0125463561674777
3331.102,0.8326321686558957,-0.9943614489500714
3331.153,0.8324011140733261,-0.9761569417326631
3331.204,0.8321789462054706,-0.9579720345152548
3331.255,0.831947891622901,-0.9397675272978465
3331.306,0.8317257237550455,-0.9215826200804382
3331.357,0.8314946691724758,-0.9033781128630299
3331.408,0.8312725013046204,-0.8851932056456217
3331.459,0.8310414467220507,-0.8669886984282134
3331.509,0.8308192788541953,-0.8488037912108051
3331.561,0.8305882242716256,-0.8305992839933968
3331.612,0.8303660564037701,-0.8124143767759885
3331.664,0.8301350018212005,-0.7942098695585802
3331.714,0.829912833953345,-0.7760249623411719
3331.765,0.8296817793707754,-0.7578204551237636
3331.816,0.8294596115029199,-0.7396355479063553
3331.867,0.8292285569203502,-0.721431040688947
3331.918,0.8290063890524948,-0.7032461334715387
3331.969,0.8287753344699251,-0.6850416262541305
3332.02,0.8285531666020697,-0.6668567190367222
3332.071,0.8283221120195,-0.6486522118193139
3332.122,0.8280999441516446,-0.6304673046019056
3332.173,0.8278688895690749,-0.6122627973844973
3332.224,0.8276467217012194,-0.594077890167089
3332.275,0.8274156671186498,-0.5758733829496807
3332.326,0.8271934992507943,-0.5576884757322724
3332.377,0.8269624446682247,-0.5394839685148641
3332.428,0.8267402768003692,-0.5212990612974558
3332.479,0.8265092222177995,-0.5030945540800476
3332.53,0.8262870543499441,-0.48490964686263927
3332.581,0.8260559997673744,-0.46670513964523097
